Title,Location,Salary,Link
Specjalista Systemów Comarch ERP / WMS,Poznań,No salary information,"https://www.pracuj.pl/praca/specjalista-systemow-comarch-erp-wms-poznan,oferta,1003736816"
Koordynator IT - Helpdesk,Swadzim (pow. poznański),No salary information,"https://www.pracuj.pl/praca/koordynator-it-helpdesk-swadzim-pow-poznanski-sw-mikolaja-1,oferta,1003718675"
Full Stack Developer,"Poznań, Stare Miasto",10 000–16 800 zł / mies. (zal. od umowy),"https://www.pracuj.pl/praca/full-stack-developer-poznan-chopina-4,oferta,1003718543"
Senior Java Developer,"Poznań, Stare Miasto",No salary information,"https://www.pracuj.pl/praca/senior-java-developer-poznan-klosowa-27,oferta,1003750545"
Senior Analyst (WebCon),Poznań,No salary information,"https://www.pracuj.pl/praca/senior-analyst-webcon-poznan,oferta,1003701791"
Consultant,Poznań,No salary information,"https://www.pracuj.pl/praca/consultant-poznan,oferta,1003739229"
Trener Programowania dla dzieci i młodzieży,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań,40–60 zł / godz. (zal. od umowy),"https://www.pracuj.pl/praca/trener-programowania-dla-dzieci-i-mlodziezy-poznan,oferta,1003744884"
Senior Frontend Developer,Poznań,No salary information,"https://www.pracuj.pl/praca/senior-frontend-developer-poznan,oferta,1003714113"
Cloud Data Engineer,Poznań,No salary information,"https://www.pracuj.pl/praca/cloud-data-engineer-poznan,oferta,1003750165"
Inżynier Sieciowy (obszar infrastruktury sieciowej IT),Poznań,No salary information,"https://www.pracuj.pl/praca/inzynier-sieciowy-obszar-infrastruktury-sieciowej-it-poznan,oferta,1003713948"
Senior Java Developer,Poznań,140 zł netto (+ VAT) / godz.,"https://www.pracuj.pl/praca/senior-java-developer-poznan,oferta,1003749912"
Programista Java,"Poznań, Jeżyce",No salary information,"https://www.pracuj.pl/praca/programista-java-poznan-dabrowskiego-29,oferta,1003741355"
Senior/Lead Python Backend Developer  ,Wrocław,18 480  – 29 400  PLN,https://nofluffjobs.com/pl/job/senior-lead-python-backend-developer-spyrosoft-wroclaw
Senior Python Engineer  ,Zdalnie,20 487  – 22 535  PLN,https://nofluffjobs.com/pl/job/senior-python-engineer-n-ix-remote-6
Senior Backend / Python Cloud engineer   ,Poznań,23 520  – 30 240  PLN,https://nofluffjobs.com/pl/job/senior-backend-python-cloud-engineer-tangent-poznan
Inżynier Oprogramowania (Python)  ,Kraków,7 000  – 11 000  PLN,https://nofluffjobs.com/pl/job/inzynier-oprogramowania-python-akademia-gorniczo-hutnicza-krakow
Trainee Python Developer  ,Warsaw,bezpłatny staż,https://nofluffjobs.com/pl/job/trainee-python-developer-innowise-warsaw
Python Developer (AI/genAI)  ,Zdalnie,18 000  – 22 000  PLN,https://nofluffjobs.com/pl/job/python-developer-ai-genai-deviniti-remote
Senior Python Engineer  ,Warsaw,27 720  – 32 760  PLN,https://nofluffjobs.com/pl/job/senior-python-engineer-pragmile-warsaw
T Hub - Python Developer  ,Warszawa,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/t-hub-python-developer-t-mobile-polska-warszawa
Senior Python Developer  ,Zdalnie,26 633  – 27 862  PLN,https://nofluffjobs.com/pl/job/senior-python-developer-adaptiq-remote
Python Developer (Team Lead)  ,Warszawa,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/python-developer-team-lead-t-mobile-polska-warszawa
Senior Python Backend Developer  ,Łódź,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/senior-python-backend-developer-elester-lodz
Technical Leader (Python & Scala)  ,Zdalnie,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/technical-leader-python-scala-euvic-remote
Senior Python Engineer  ,Zdalnie,20 487  – 30 730  PLN,https://nofluffjobs.com/pl/job/senior-python-engineer-openvpn-remote-2
Mid/Senior Python Developer  ,Zdalnie,23 520  – 33 600  PLN,https://nofluffjobs.com/pl/job/mid-senior-python-developer-first-derivative-remote
Starszy Programista Python  ,Warszawa,16 000  – 22 000  PLN,https://nofluffjobs.com/pl/job/starszy-programista-python-atende-industries-warszawa-1
Python Developer   ,Łódź,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/python-developer-commerzbank-lodz
"Senior Python Engineer, (monolith decomposition/domain ownership)  ",Zdalnie,27 000  – 30 000  PLN,https://nofluffjobs.com/pl/job/senior-python-engineer-monolith-decomposition-domain-ownership-pandadoc-remote
Senior Python Engineer  ,Zdalnie,18 438  – 24 584  PLN,https://nofluffjobs.com/pl/job/senior-python-engineer-railsware-remote-1
Python Developer Expert,Gdynia,28 560  PLN,https://nofluffjobs.com/pl/job/python-developer-expert-emagine-gdynia
Python Developer for Market Risk,Warsaw,28 560  PLN,https://nofluffjobs.com/pl/job/python-developer-for-market-risk-emagine-warsaw
Engineering Manager (L7) - 100% remote (Design System team - FE oriented)  ,Zdalnie,33 000  – 51 000  PLN,https://nofluffjobs.com/pl/job/engineering-manager-l7-100-remote-design-system-team-fe-oriented-apollo-io
Engineering Manager (L7) - 100% remote (BE or FE oriented)  ,Zdalnie,33 000  – 51 000  PLN,https://nofluffjobs.com/pl/job/engineering-manager-l7-100-remote-be-or-fe-oriented-apollo-io-1
Senior Vue.js Developer,Wrocław,23 520  – 27 720  PLN,https://nofluffjobs.com/pl/job/senior-vue-js-developer-avenga-wroclaw
Remote Senior Frontend React Software Engineer,Zdalnie,17 754  – 20 316  PLN,https://nofluffjobs.com/pl/job/remote-senior-frontend-react-software-engineer-netfire-2
JavaScript Developer (Angular)  ,Zdalnie,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/javascript-developer-angular-stx-next-remote
Senior JavaScript Developer (navigation platform),Warszawa,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/senior-javascript-developer-navigation-platform-synergetica-warszawa
Senior Frontend Engineer (L5-L6) - 100% remote  ,Zdalnie,28 000  – 36 000  PLN,https://nofluffjobs.com/pl/job/senior-frontend-engineer-l5-l6-100-remote-apollo-io-wwew4dxa
Regular React Developer,Zdalnie,9 000  – 18 000  PLN,https://nofluffjobs.com/pl/job/regular-react-developer-ynd-technologies-remote-hz4ith2c
Senior JavaScript Engineer  ,Warsaw,27 720  – 32 760  PLN,https://nofluffjobs.com/pl/job/senior-javascript-engineer-pragmile-warsaw-unrqrx6h
Angular Developer  ,Wrocław,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/angular-developer-santander-bank-polska-wroclaw-xzrybuad
React Developer,Zdalnie,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/react-developer-benefit-systems-remote-3oiqw5kc
Vue.js Developer - Remote  ,Zdalnie,16 800  – 25 200  PLN,https://nofluffjobs.com/pl/job/vue-js-developer-remote-link-group-ehb3ngv8
Lead Frontend Developer  ,Zdalnie,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/lead-frontend-developer-experis-polska-remote-qt94hjev
Senior Frontend Developer  ,Zdalnie,21 000  – 26 880  PLN,https://nofluffjobs.com/pl/job/senior-frontend-developer-ness-solution-remote-xgo31acq
Senior/Lead JavaScript Developer,Warsaw,18 480  – 29 400  PLN,https://nofluffjobs.com/pl/job/senior-lead-javascript-developer-spyrosoft-warsaw-gdso16vz
Angular Developer  ,Zdalnie,5 712  – 6 552  USD,https://nofluffjobs.com/pl/job/angular-developer-unisystech-consulting-remote-ucg9ychp
Frontend Developer  ,Kraków,Sprawdź Salary Match,https://nofluffjobs.com/pl/job/frontend-developer-alten-polska-krakow-yqzlb9c7
Senior Frontend Developer (Vue.js+Azure) - Remote   ,Zdalnie,25 200  – 28 560  PLN,https://nofluffjobs.com/pl/job/senior-frontend-developer-vue-js-azure-remote-7n
Lead Front-End Engineer  ,Kraków,5 250  – 9 583  USD,https://nofluffjobs.com/pl/job/lead-front-end-engineer-inkitt-krakow-hmnesaxh
Senior Frontend Developer,Zdalnie,23 520  – 28 560  PLN,https://nofluffjobs.com/pl/job/senior-frontend-developer-avenga-remote-jreteutj
Senior Power Platform Consultant,Poznan,No salary information,https://www.infopraca.pl/praca/senior-power-platform-consultant/poznan/17933675
Business Analyst,Poznan,No salary information,https://www.infopraca.pl/praca/business-analyst/poznan/17947218
Cyber Security Specialist,Poznań,No salary information,https://www.infopraca.pl/praca/cyber-security-specialist/poznan/17944398
Business Analyst,Poznań,No salary information,https://www.infopraca.pl/praca/business-analyst/poznan/17964018
ServiceNow Developer,Poznan,No salary information,https://www.infopraca.pl/praca/servicenow-developer/poznan/17927994
Web Application Developer,Poznan,No salary information,https://www.infopraca.pl/praca/web-application-developer/poznan/17925267
AWS Software Engineer,Poznan,No salary information,https://www.infopraca.pl/praca/aws-software-engineer/poznan/17925262
Software Developer,Poznan,No salary information,https://www.infopraca.pl/praca/software-developer/poznan/17925263
Software Specialist- Automotive,Poznan,No salary information,https://www.infopraca.pl/praca/software-specialist-automotive/poznan/17942427
Project manager ds wdrożenia ERP,Poznan,No salary information,https://www.infopraca.pl/praca/project-manager-ds-wdrozenia-erp/poznan/17957996
